palavra em português,palavra em inglês
carro,car
casa,house
livro,book
janela,window
cadeira,chair
gato,cat
cachorro,dog
mesa,table
caneta,pen
computador,computer
telefone,phone
árvore,tree
chave,key
copo,glass
porta,door
sol,sun
lua,moon
estrela,star
rio,river
mar,sea
oceano,ocean
montanha,mountain
floresta,forest
pássaro,bird
peixe,fish
elefante,elephant
tigre,tiger
leão,lion
macaco,monkey
girafa,giraffe
borboleta,butterfly
formiga,ant
abelha,bee
aranha,spider
coração,heart
amor,love
felicidade,happiness
tristeza,sadness
alegria,joy
raiva,anger
medo,fear
esperança,hope
liberdade,freedom
justiça,justice
paz,peace
amizade,friendship
criatividade,creativity
verdade,truth
mentira,lies
tempo,time
espaço,space
planeta,planet
energia,energy
poder,power
beleza,beauty
sonho,dream
sorriso,smile
riso,laughter
cor,color
som,sound
música,music
arte,art
dança,dance
filme,movie
palavra,word
pensamento,thought
memória,memory
esperança,hope
confiança,trust
sucesso,success
fracasso,failure
vitória,victory
derrota,defeat
chocolate,chocolate
sorvete,ice cream
bolo,cake
doce,candy
água,water
comida,food
ar,air
terra,earth
fogo,fire
vento,wind
chuva,rain
neve,snow
primavera,spring
verão,summer
outono,autumn
inverno,winter
dia,day
noite,night
manhã,morning
tarde,afternoon
noite,evening
céu,sky
nuvem,cloud
estrela,star
lua,moon
sol,sun
calor,heat
frio,cold
vento,wind
eu,I
você,you
ele,he
ela,she
nós,we
eles,they
isso,that
este,this
aquele,that
meu,my
seu,your
seus,your
nosso,our
dele,his
dela,hers
meus,mine
seus,yours
nossos,ours
deles,theirs
isso,that
este,this
aquele,that
um,a
uma,a
o,the
os,the
as,the
algum,some
nenhum,no
qualquer,any
todos,all
muito,very
bem,well
agora,now
aqui,here
lá,there
ontem,yesterday
hoje,today
amanhã,tomorrow
cedo,early
tarde,late
sim,yes
não,no
talvez,maybe
bom,good
ruim,bad
melhor,better
pior,worse
mais,more
menos,less
também,also
apenas,only
quase,almost
certamente,certainly
rápido,fast
devagar,slow
já,already
ainda,yet
sempre,always
nunca,never
é,is
feio,ugly
